"site_code","site","site_type","organization","lat_dd","long_dd","year","date","time_start","time_end","n_nights","n_hours","proper_fishing_yn","subsample_yn","n_megalope","n_instar","megalope_hr","instar_hr"
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-04,"0.85416666666666663","0.25",2,46.7916666666667,"Y","N",39,2,0.833481745325022,0.0427426536064114
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-06,"0.85416666666666663","0.25",2,46.7916666666667,"Y","N",52,28,1.1113089937667,0.59839715048976
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-08,"0.85416666666666663","0.25",2,46.7916666666667,"Y","N",30,10,0.641139804096171,0.213713268032057
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-09,"0.85416666666666663","0.25",1,23.3958333333333,"Y","N",16,0,0.683882457702582,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-11,"0.85416666666666663","0.25",2,46.7916666666667,"Y","N",11,0,0.235084594835263,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-13,"0.85416666666666663","0.25",2,46.7916666666667,"Y","N",1,0,0.0213713268032057,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-15,"0.85416666666666663","0.22916666666666666",2,46.75,"Y","N",1,0,0.0213903743315508,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-16,"0.85416666666666663","0.22916666666666666",1,23.375,"Y","N",4,1,0.171122994652406,0.0427807486631016
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-18,"0.85416666666666663","0.22916666666666666",2,46.75,"Y","N",1,0,0.0213903743315508,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-20,"0.85416666666666663","0.22916666666666666",2,46.75,"Y","N",0,0,0,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-21,"0.85416666666666663","0.22916666666666666",1,23.375,"Y","N",1,0,0.0427807486631016,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-23,"0.85416666666666663","0.22916666666666666",2,46.75,"Y","N",0,0,0,0
"ANA","Fidalgo Bay - Anacortes","public dock","Swinomish Indian Tribal Community",48.510059,-122.604745,2019,2019-05-25,"0.85416666666666663","0.22916666666666666",2,46.75,"Y","N",0,0,0,0
